         y                       y+                           produc                    t-diff                  v-diff              p-strain                     p-diff                  dissip                     bal       
    2.331270345497056e-01    2.332463085045534e+02    1.775251959506055e-02   -2.444847083107097e-04    2.707879714086004e-06   -1.126900509424904e-02    0.000000000000000e+00    6.237500456888671e-03    4.237215326219346e-06
    2.371337130723211e-01    2.372550369498392e+02    1.740524977106165e-02   -2.448006118325668e-04    5.887233076715126e-06   -1.105956167742034e-02    0.000000000000000e+00    6.111290130570067e-03   -4.515415684606602e-06
    2.411699148345444e-01    2.412933037396029e+02    1.706798262743884e-02   -2.441518269818130e-04    7.057284047562094e-06   -1.085568682520831e-02    0.000000000000000e+00    5.989334239284786e-03   -1.413297998851485e-05
    2.452354836337044e-01    2.453609525912558e+02    1.673956308347251e-02   -2.371393854069551e-04    7.521865027920699e-06   -1.065697730539551e-02    0.000000000000000e+00    5.871139403091715e-03   -1.817114539374824e-05
    2.493302621306134e-01    2.494578260851113e+02    1.641728887648293e-02   -2.250351078406748e-04    8.835920874668166e-06   -1.046406260061397e-02    0.000000000000000e+00    5.756295380148393e-03   -1.926829124544293e-05
    2.534540918556565e-01    2.535837656704775e+02    1.610040824518560e-02   -2.134185204701352e-04    7.950777641263729e-06   -1.027638531677196e-02    0.000000000000000e+00    5.644518849483041e-03   -2.596366389827440e-05
    2.576068132149244e-01    2.577386116717925e+02    1.579125861559679e-02   -2.044464862277485e-04    6.205513965757623e-06   -1.009162166954281e-02    0.000000000000000e+00    5.535171479477358e-03   -3.377550568536575e-05
    2.617882654963896e-01    2.619222032948041e+02    1.548911441020287e-02   -1.921284364874337e-04    4.042623792816790e-06   -9.909108175372619e-03    0.000000000000000e+00    5.427652224769517e-03   -3.573180263388535e-05
    2.659982868761259e-01    2.661343786327930e+02    1.519156660820100e-02   -1.666560412783313e-04    6.840308780782787e-07   -9.730525675536190e-03    0.000000000000000e+00    5.322849723305928e-03   -2.778080104137368e-05
    2.702367144245715e-01    2.703749746728381e+02    1.490073065319175e-02   -1.362808484921681e-04    2.287140501688094e-07   -9.557118986582210e-03    0.000000000000000e+00    5.221794959209925e-03   -1.423542704238022e-05
    2.745033841128339e-01    2.746438273021254e+02    1.461930447654399e-02   -1.127719530262233e-04    9.863368617309432e-07   -9.389180957340051e-03    0.000000000000000e+00    5.123372992929768e-03   -5.035089890323939e-06
    2.787981308190384e-01    2.789407713142996e+02    1.434848251171984e-02   -8.774489606131717e-05   -3.905027707834962e-08   -9.226237395019894e-03    0.000000000000000e+00    5.027260689302726e-03    7.200481058827930e-06
    2.831207883347180e-01    2.832656404158570e+02    1.408759898246842e-02   -6.657101831212717e-05    4.400643123453646e-07   -9.067426006324403e-03    0.000000000000000e+00    4.933782403433909e-03    2.025961871032940e-05
