            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
          11.139         17661.7         9217.68     1.26213e-17          314.67         11.7948      -0.0365557         -111397          215809        -14.3965        0.011593         1.78385
          11.142         17639.5         9007.18     1.65016e-17         314.728         11.9325      -0.0362776         -108887          215545        -15.1548       0.0129239         1.78392
          11.145         17616.7         8792.76     2.12945e-17         314.786         12.0649      -0.0359965         -106329          215275        -15.9189       0.0150565         1.78396
          11.148         17593.6          8574.6     2.64926e-17         314.844         12.1919      -0.0357151         -103726          214999         -16.686       0.0199954         1.78395
          11.151         17570.2         8352.86     3.17347e-17         314.901         12.3136      -0.0354348         -101078          214720        -17.4543       0.0160751         1.78386
          11.154         17546.6         8127.57     3.66832e-17         314.957         12.4301      -0.0351547        -98388.5          214439        -18.2218       0.0225245         1.78367
          11.157         17522.8         7898.66     4.10269e-17          315.01         12.5413      -0.0348739        -95655.1          214155         -18.988       0.0296927         1.78385
           11.16         17498.8         7666.28     4.46679e-17         315.062         12.6472      -0.0345913        -92879.6          213868        -19.7515        0.035297         1.78415
          11.163         17474.6         7430.49      4.7328e-17         315.111         12.7477      -0.0343091        -90063.4          213580        -20.5117       0.0398101         1.78438
          11.166         17450.5         7191.37     4.89263e-17         315.158          12.843      -0.0340282        -87206.2          213292        -21.2685       0.0435342         1.78456
          11.169         17426.2         6949.15     4.96277e-17         315.203         12.9328      -0.0337494        -84311.2          213001        -22.0217       0.0466517          1.7847
          11.172           17402         6703.76     4.95857e-17         315.247         13.0172       -0.033472        -81378.3          212711        -22.7726        0.049283         1.78481
          11.175         17377.9          6455.3     4.90435e-17         315.289         13.0962      -0.0331952        -78408.1          212422        -23.5216       0.0515138         1.78488
          11.178         17353.8         6203.83     4.82746e-17          315.33         13.1696      -0.0329197        -75401.6          212134        -24.2697       0.0534081         1.78493
          11.181         17329.9         5949.44     4.74673e-17         315.371         13.2374      -0.0326469        -72359.8          211847        -25.0175       0.0550141         1.78495
          11.184         17306.2         5692.26     4.67228e-17         315.411         13.2995       -0.032377        -69284.1          211563        -25.7652       0.0563668         1.78495
          11.187           17283         5432.37      4.6178e-17          315.45         13.3559      -0.0321094        -66175.2          211284         -26.513       0.0574912         1.78491
           11.19           17260         5169.77     4.59532e-17          315.49         13.4064      -0.0318447          -63034          211008        -27.2614       0.0584033         1.78485
          11.193         17237.5         4904.51     4.61986e-17          315.53         13.4511      -0.0315834        -59860.6          210737        -28.0105       0.0591113         1.78477
          11.196         17215.4         4636.66     4.68737e-17         315.569         13.4898      -0.0313248        -56655.6          210472        -28.7603       0.0596171         1.78466
          11.199         17193.8         4366.42     4.79565e-17         315.609         13.5225      -0.0310703        -53421.4          210211        -29.5102       0.0585051         1.78453
          11.202         17172.7         4093.78     4.94606e-17         315.649         13.5491      -0.0308202        -50158.2          209957        -30.2602       0.0546829         1.78437
          11.205         17152.1         3818.78     5.13397e-17         315.689         13.5696      -0.0305738        -46866.8          209709        -31.0101        0.049852         1.78433
          11.208         17132.3         3541.49     5.34307e-17         315.728          13.584      -0.0303316        -43547.3          209470        -31.7597       0.0428765         1.78425
          11.211         17113.2         3261.84     5.55213e-17         315.768         13.5923      -0.0300959        -40199.3          209238        -32.5092       0.0339179          1.7841
          11.214         17094.9            2980     5.76554e-17         315.807         13.5944      -0.0298666        -36824.8          209018        -33.2579        0.020614          1.7839
          11.217         17077.6         2696.02     5.97542e-17         315.847         13.5903      -0.0296435          -33424          208808        -34.0057      0.00444068         1.78366
           11.22         17061.1         2410.06     6.18085e-17         315.886           13.58      -0.0294253        -29999.2          208608        -34.7517        0.023977          1.7834
          11.223         17045.6         2122.23     6.36737e-17         315.925         13.5636      -0.0292136        -26551.7          208419        -35.4957       0.0163277         1.78311
          11.226         17031.1         1832.55     6.52816e-17         315.963         13.5411      -0.0290077        -23081.6          208243        -36.2373       0.0160165          1.7828
          11.229         17017.6         1541.04     6.65472e-17         316.001         13.5125      -0.0288088        -19589.6          208079        -36.9765      0.00947034         1.78247
          11.232         17005.3         1247.87     6.75356e-17         316.039         13.4778       -0.028617          -16077          207928        -37.7126      0.00641823         1.78213
          11.235         16994.3         953.056     6.83384e-17         316.076         13.4369      -0.0284325        -12544.4          207792        -38.4456       0.0236694         1.78177
          11.238         16984.5         656.684     6.89672e-17         316.113         13.3901      -0.0282541        -8992.81          207672        -39.1753       0.0357274          1.7814
