y	y+	Umean	dUmean/dy	Wmean	Pmean	dissip	produc	R_uu	R_vv	R_ww	R_uv	R_uw	R_vw	k
0.099574215	198.6263009	18.11765089	25.84551962	0.004899946	-1.201384497	0.011034348	0.01149563	4.351113086	1.201384497	1.889413683	-0.88723181	0.005415842	-0.000256116	3.720955633
0.101377385	202.2231849	18.16387798	25.42992252	0.004894682	-1.199734816	0.010824351	0.011290271	4.339218723	1.199734816	1.881214875	-0.885622914	0.005395084	-0.000226716	3.710084207
0.103195869	205.8506178	18.20975173	25.02528365	0.00488548	-1.198066889	0.010620595	0.011090229	4.327259921	1.198066889	1.873058331	-0.883997357	0.00533876	-0.000200786	3.699192571
0.105029637	209.508538	18.25527927	24.63157856	0.004870983	-1.196380973	0.010422693	0.010895483	4.315235747	1.196380973	1.864953195	-0.882355655	0.00525694	-0.000179143	3.688284957
0.106878657	213.196883	18.30046643	24.24734421	0.004850199	-1.194677351	0.010230317	0.010705392	4.303159896	1.194677351	1.856906226	-0.880699679	0.005162376	-0.000164171	3.677371736
0.108742898	216.9155899	18.34531831	23.87306974	0.004822567	-1.192955952	0.010043091	0.010520195	4.29104818	1.192955952	1.848924584	-0.879032651	0.005072638	-0.000157319	3.666464358
0.110622329	220.6645955	18.38984304	23.51063625	0.004788021	-1.191216206	0.009861122	0.010340707	4.278894078	1.191216206	1.84101318	-0.877355096	0.005001217	-0.00015415	3.655561732
0.112516916	224.4438358	18.43405276	23.16154723	0.004746682	-1.189457297	0.009684045	0.01016751	4.266668548	1.189457297	1.833177023	-0.875662146	0.004941781	-0.000149495	3.644651434
0.114426628	228.2532464	18.47796049	22.82411127	0.004699026	-1.187678368	0.009512088	0.009999761	4.25435176	1.187678368	1.825414104	-0.873947372	0.004876202	-0.000139624	3.633722116
0.116351433	232.0927624	18.52157399	22.4947468	0.004645757	-1.185878649	0.009344905	0.009835845	4.241954814	1.185878649	1.817724159	-0.872207999	0.004797011	-0.000125486	3.622778811
0.118291297	235.9623183	18.56489522	22.17044659	0.004586766	-1.184057692	0.009182021	0.009674433	4.229490557	1.184057692	1.810114202	-0.870443381	0.004714604	-0.00010924	3.611831225
0.120246187	239.8618482	18.60792113	21.84922387	0.004521393	-1.182215454	0.009022927	0.009514662	4.216955292	1.182215454	1.802580075	-0.868653771	0.004640523	-9.32177E-05	3.60087541
0.12221607	243.7912857	18.65064795	21.53204371	0.00444921	-1.180352321	0.008868102	0.009356959	4.204334054	1.180352321	1.795094666	-0.866839597	0.00456276	-8.05933E-05	3.58989052
0.124200913	247.7505638	18.69307482	21.22010077	0.004369726	-1.178469228	0.008717191	0.009201838	4.191631571	1.178469228	1.787651626	-0.865000403	0.004458703	-7.38709E-05	3.578876213
0.126200682	251.739615	18.73520262	20.91397322	0.004282167	-1.176567488	0.00856981	0.009049558	4.178852617	1.176567488	1.780268707	-0.863137316	0.00432042	-7.55005E-05	3.567844406
0.128215342	255.7583713	18.77703335	20.61360349	0.004186014	-1.174648319	0.008426095	0.008900138	4.165982458	1.174648319	1.772962622	-0.861255237	0.004155145	-8.67595E-05	3.556796699
0.130244859	259.8067642	18.8185683	20.31858488	0.004081442	-1.172712598	0.008286031	0.008753453	4.153014525	1.172712598	1.765735435	-0.85935992	0.003973335	-0.000106763	3.545731279
0.1322892	263.8847248	18.85981028	20.03053187	0.003969421	-1.170760801	0.008149435	0.008610191	4.139944447	1.170760801	1.758586205	-0.857451724	0.003790782	-0.000131682	3.534645727
0.134348328	267.9921836	18.9007654	19.75010086	0.00385106	-1.168793464	0.008016013	0.008470586	4.126764176	1.168793464	1.751517041	-0.855526929	0.003615881	-0.000159366	3.523537341
0.136422208	272.1290704	18.9414402	19.47740648	0.003727274	-1.166811651	0.007886052	0.008334638	4.113463282	1.166811651	1.74450928	-0.853582148	0.003452811	-0.000191857	3.512392106
0.138510807	276.2953149	18.98184316	19.21335799	0.003599429	-1.164816438	0.007759702	0.008202714	4.100038892	1.164816438	1.737541626	-0.851616587	0.003305636	-0.000229438	3.501198478
0.140614087	280.4908461	19.02198241	18.95598814	0.003468619	-1.162807988	0.007636502	0.008074009	4.086514927	1.162807988	1.730605527	-0.849635561	0.003168574	-0.000267388	3.489964221
0.142732012	284.7155924	19.06186043	18.70247617	0.003334917	-1.160785152	0.007516319	0.007947385	4.072925955	1.160785152	1.723693499	-0.847647129	0.003036639	-0.000301055	3.478702303
0.144864548	288.9694818	19.10147695	18.45296297	0.003197816	-1.158745889	0.007398952	0.007822945	4.059288879	1.158745889	1.716809483	-0.845656958	0.002915004	-0.000327906	3.467422125
0.147011658	293.2524418	19.14083392	18.20865465	0.003056951	-1.156687913	0.007284166	0.007701179	4.04559813	1.156687913	1.709964705	-0.843663857	0.00281106	-0.000347097	3.456125374
0.149173304	297.5643996	19.17993539	17.97010004	0.002912412	-1.154609272	0.007171732	0.007582255	4.031846026	1.154609272	1.703160996	-0.841662511	0.002725179	-0.000364097	3.444808147
0.15134945	301.9052814	19.21878661	17.73751661	0.002764058	-1.152508657	0.007061968	0.00746617	4.0180182	1.152508657	1.696388732	-0.839643788	0.002648881	-0.000387207	3.433457795
0.15354006	306.2750135	19.25739158	17.50905327	0.002610912	-1.150385199	0.00695498	0.007352082	4.004111511	1.150385199	1.689644307	-0.837602194	0.002579463	-0.000419212	3.422070508
0.155745095	310.6735212	19.29574964	17.28290294	0.002452778	-1.148238393	0.006850408	0.007239225	3.990154317	1.148238393	1.682932696	-0.835537088	0.00251795	-0.000454401	3.410662703
0.157964518	315.1007298	19.33385879	17.05929072	0.002291168	-1.146068333	0.006747896	0.007127675	3.976158357	1.146068333	1.676271376	-0.833446282	0.002455264	-0.000486896	3.399249033
0.160198291	319.5565636	19.37171842	16.83908063	0.002128124	-1.143875645	0.006647411	0.007017789	3.962115822	1.143875645	1.66966442	-0.831329012	0.002369977	-0.00051406	3.387827943
0.162446377	324.0409468	19.40933071	16.62368003	0.001964864	-1.141661056	0.006549103	0.00691016	3.948003539	1.141661056	1.663106411	-0.829186499	0.002235349	-0.00053318	3.376385503
0.164708737	328.5538029	19.44670089	16.41388064	0.001801187	-1.139425035	0.006452948	0.006805125	3.933794987	1.139425035	1.656592367	-0.8270207	0.002042147	-0.000543777	3.364906194
0.166985331	333.095055	19.4838337	16.20813197	0.001636062	-1.137167901	0.006359055	0.00670205	3.919492086	1.137167901	1.650105844	-0.82483375	0.001807997	-0.000546055	3.353382915
