y	y+	Umean	dUmean/dy	Wmean	Pmean	
3.90811474E-02	2.02670811E+02	1.81432804E+01	6.47365856E+01	-2.81021298E-03	-1.27410207E+00	
3.96426787E-02	2.05582854E+02	1.81793916E+01	6.38841613E+01	-2.81210309E-03	-1.27376839E+00	
4.02080246E-02	2.08514680E+02	1.82152709E+01	6.30478419E+01	-2.81323732E-03	-1.27342845E+00	
4.07771830E-02	2.11466277E+02	1.82509205E+01	6.22271357E+01	-2.81344593E-03	-1.27308283E+00	
4.13501516E-02	2.14437633E+02	1.82863430E+01	6.14216857E+01	-2.81255545E-03	-1.27273193E+00	
4.19269281E-02	2.17428737E+02	1.83215407E+01	6.06311538E+01	-2.81037994E-03	-1.27237562E+00	
4.25075102E-02	2.20439576E+02	1.83565158E+01	5.98552019E+01	-2.80681605E-03	-1.27201327E+00	
4.30918957E-02	2.23470139E+02	1.83912708E+01	5.90935221E+01	-2.80183859E-03	-1.27164400E+00	
4.36800822E-02	2.26520414E+02	1.84258080E+01	5.83457430E+01	-2.79539892E-03	-1.27126691E+00	
4.42720673E-02	2.29590388E+02	1.84601296E+01	5.76115309E+01	-2.78745145E-03	-1.27088145E+00	
4.48678488E-02	2.32680049E+02	1.84942379E+01	5.68906113E+01	-2.77799973E-03	-1.27048772E+00	
4.54674242E-02	2.35789385E+02	1.85281350E+01	5.61827678E+01	-2.76710875E-03	-1.27008655E+00	
4.60707912E-02	2.38918385E+02	1.85618233E+01	5.54878456E+01	-2.75483255E-03	-1.26967937E+00	
4.66779473E-02	2.42067034E+02	1.85953052E+01	5.48056633E+01	-2.74112033E-03	-1.26926754E+00	
4.72888902E-02	2.45235321E+02	1.86285829E+01	5.41358988E+01	-2.72584053E-03	-1.26885171E+00	
4.79036175E-02	2.48423233E+02	1.86616587E+01	5.34781726E+01	-2.70883025E-03	-1.26843175E+00	
4.85221266E-02	2.51630758E+02	1.86945349E+01	5.28321628E+01	-2.68998271E-03	-1.26800701E+00	
4.91444152E-02	2.54857882E+02	1.87272135E+01	5.21974219E+01	-2.66928430E-03	-1.26757665E+00	
4.97704807E-02	2.58104594E+02	1.87596964E+01	5.15735651E+01	-2.64681481E-03	-1.26714014E+00	
5.04003207E-02	2.61370879E+02	1.87919857E+01	5.09604808E+01	-2.62282092E-03	-1.26669785E+00	
5.10339327E-02	2.64656726E+02	1.88240832E+01	5.03580345E+01	-2.59770406E-03	-1.26625098E+00	
5.16713141E-02	2.67962121E+02	1.88559911E+01	4.97658676E+01	-2.57178963E-03	-1.26580084E+00	
5.23124625E-02	2.71287050E+02	1.88877110E+01	4.91835748E+01	-2.54524880E-03	-1.26534829E+00	
5.29573752E-02	2.74631501E+02	1.89192448E+01	4.86109196E+01	-2.51821236E-03	-1.26489356E+00	
5.36060498E-02	2.77995461E+02	1.89505941E+01	4.80477204E+01	-2.49090329E-03	-1.26443606E+00	
5.42584836E-02	2.81378915E+02	1.89817607E+01	4.74936768E+01	-2.46363731E-03	-1.26397466E+00	
5.49146740E-02	2.84781851E+02	1.90127460E+01	4.69484633E+01	-2.43668858E-03	-1.26350851E+00	
5.55746185E-02	2.88204256E+02	1.90435517E+01	4.64119161E+01	-2.41019908E-03	-1.26303770E+00	
5.62383144E-02	2.91646114E+02	1.90741793E+01	4.58839422E+01	-2.38412756E-03	-1.26256302E+00	
5.69057591E-02	2.95107414E+02	1.91046303E+01	4.53645288E+01	-2.35833069E-03	-1.26208517E+00	
5.75769499E-02	2.98588140E+02	1.91349065E+01	4.48537270E+01	-2.33267343E-03	-1.26160445E+00	
5.82518842E-02	3.02088280E+02	1.91650097E+01	4.43515477E+01	-2.30704890E-03	-1.26112098E+00	
5.89305593E-02	3.05607819E+02	1.91949419E+01	4.38579390E+01	-2.28143632E-03	-1.26063471E+00	
5.96129724E-02	3.09146744E+02	1.92247049E+01	4.33725176E+01	-2.25597138E-03	-1.26014490E+00	
6.02991210E-02	3.12705040E+02	1.92543004E+01	4.28948887E+01	-2.23085295E-03	-1.25965058E+00	
6.09890022E-02	3.16282692E+02	1.92837301E+01	4.24250883E+01	-2.20616103E-03	-1.25915112E+00	
6.16826133E-02	3.19879688E+02	1.93129958E+01	4.19630882E+01	-2.18176157E-03	-1.25864650E+00	
6.23799516E-02	3.23496013E+02	1.93420992E+01	4.15085532E+01	-2.15743208E-03	-1.25813729E+00	
6.30810142E-02	3.27131652E+02	1.93710420E+01	4.10611850E+01	-2.13300837E-03	-1.25762430E+00	
6.37857985E-02	3.30786590E+02	1.93998255E+01	4.06207306E+01	-2.10830280E-03	-1.25710821E+00	
6.44943016E-02	3.34460815E+02	1.94284513E+01	4.01870258E+01	-2.08308060E-03	-1.25658956E+00	
6.52065206E-02	3.38154309E+02	1.94569206E+01	3.97599804E+01	-2.05716152E-03	-1.25606868E+00	
6.59224528E-02	3.41867060E+02	1.94852350E+01	3.93393614E+01	-2.03052567E-03	-1.25554543E+00	
6.66420954E-02	3.45599052E+02	1.95133957E+01	3.89249761E+01	-2.00330429E-03	-1.25501885E+00	
6.73654454E-02	3.49350271E+02	1.95414039E+01	3.85168735E+01	-1.97564854E-03	-1.25448792E+00	
6.80925000E-02	3.53120701E+02	1.95692613E+01	3.81151203E+01	-1.94766620E-03	-1.25395234E+00	
6.88232562E-02	3.56910328E+02	1.95969691E+01	3.77195742E+01	-1.91943328E-03	-1.25341249E+00	
6.95577113E-02	3.60719137E+02	1.96245289E+01	3.73299377E+01	-1.89093911E-03	-1.25286892E+00	
7.02958623E-02	3.64547112E+02	1.96519418E+01	3.69458868E+01	-1.86209506E-03	-1.25232129E+00	
7.10377062E-02	3.68394238E+02	1.96792090E+01	3.65671564E+01	-1.83283265E-03	-1.25176846E+00	
7.17832400E-02	3.72260500E+02	1.97063313E+01	3.61935633E+01	-1.80302914E-03	-1.25120985E+00	
7.25324610E-02	3.76145882E+02	1.97333099E+01	3.58251451E+01	-1.77248346E-03	-1.25064588E+00	
7.32853660E-02	3.80050370E+02	1.97601457E+01	3.54620351E+01	-1.74101209E-03	-1.25007712E+00	
7.40419520E-02	3.83973948E+02	1.97868399E+01	3.51041880E+01	-1.70849526E-03	-1.24950380E+00	
7.48022162E-02	3.87916599E+02	1.98133939E+01	3.47515738E+01	-1.67489306E-03	-1.24892613E+00	
7.55661553E-02	3.91878309E+02	1.98398089E+01	3.44042772E+01	-1.64025738E-03	-1.24834421E+00	
7.63337665E-02	3.95859062E+02	1.98660863E+01	3.40622950E+01	-1.60467270E-03	-1.24775745E+00	
7.71050467E-02	3.99858841E+02	1.98922276E+01	3.37255021E+01	-1.56820593E-03	-1.24716501E+00	
7.78799927E-02	4.03877632E+02	1.99182340E+01	3.33937122E+01	-1.53089709E-03	-1.24656697E+00	
7.86586016E-02	4.07915417E+02	1.99441070E+01	3.30668188E+01	-1.49266941E-03	-1.24596452E+00	
7.94408701E-02	4.11972182E+02	1.99698478E+01	3.27449108E+01	-1.45340293E-03	-1.24535963E+00	
8.02267954E-02	4.16047909E+02	1.99954579E+01	3.24279414E+01	-1.41312460E-03	-1.24475468E+00	
8.10163741E-02	4.20142583E+02	2.00209386E+01	3.21155425E+01	-1.37193397E-03	-1.24415160E+00	
8.18096031E-02	4.24256188E+02	2.00462910E+01	3.18074675E+01	-1.32999949E-03	-1.24355095E+00	
8.26064794E-02	4.28388706E+02	2.00715162E+01	3.15037621E+01	-1.28764243E-03	-1.24295237E+00	
8.34069997E-02	4.32540122E+02	2.00966154E+01	3.12042907E+01	-1.24518052E-03	-1.24235565E+00	
8.42111609E-02	4.36710419E+02	2.01215895E+01	3.09088280E+01	-1.20288746E-03	-1.24176072E+00	
8.50189598E-02	4.40899581E+02	2.01464396E+01	3.06174932E+01	-1.16104771E-03	-1.24116690E+00	
