"GradU:0","GradU:1","GradU:2","GradU:3","GradU:4","GradU:5","GradU:6","GradU:7","GradU:8","Points:0","Points:1","Points:2","Vorticity:0","Vorticity:1","Vorticity:2","density","minimum_distance_to_wall","pressure","pressure_force_:0","pressure_force_:1","pressure_force_:2","specific_dissipation_rate","sst_f_one_blending","tau_wall","turbulent_ke","turbulent_viscosity","velocity_:0","velocity_:1","velocity_:2","viscous_force_:0","viscous_force_:1","viscous_force_:2","yplus"
3.36046e-09,2.69795,0,2.92322e-09,-1.55909e-09,0,8.72609e-10,1.17945e-10,0,4,0.674298,1.5,1.17945e-10,-8.72609e-10,-2.69795,1,0.674486,-1.68287e-08,0,0,0,10.7598,0.999989,0,1.2904,0.119929,19.679,-6.07854e-10,2.19066e-10,0,0,0,0
3.52541e-09,2.4101,0,2.50068e-09,-1.32693e-09,0,9.71597e-10,3.06099e-11,0,4,0.703523,1.5,3.06099e-11,-9.71597e-10,-2.4101,1,0.703705,-1.85462e-08,0,0,0,10.1505,0.999996,0,1.24098,0.122257,19.7536,-6.50107e-10,2.20984e-10,0,0,0,0
3.69131e-09,2.13103,0,2.0003e-09,-1.12774e-09,0,1.07891e-09,-3.17206e-11,0,4,0.733266,1.5,-3.17206e-11,-1.07891e-09,-2.13103,1,0.733439,-1.99294e-08,0,0,0,9.60283,1,0,1.19502,0.124445,19.8211,-6.86038e-10,2.20853e-10,0,0,0,0
3.80208e-09,1.85997,0,1.42097e-09,-9.96231e-10,0,1.19216e-09,-8.65533e-11,0,4,0.763482,1.5,-8.65533e-11,-1.19216e-09,-1.85997,1,0.763645,-2.10103e-08,0,0,0,9.11632,1,0,1.15298,0.126474,19.8813,-7.17687e-10,2.1907e-10,0,0,0,0
3.82913e-09,1.59618,0,7.62196e-10,-9.03135e-10,0,1.31059e-09,-1.59287e-10,0,4,0.794126,1.5,-1.59287e-10,-1.31059e-09,-1.59618,1,0.794275,-2.15847e-08,0,0,0,8.69082,1,0,1.11524,0.128324,19.9342,-7.46647e-10,2.15573e-10,0,0,0,0
3.60304e-09,1.33887,0,5.32146e-11,-7.10665e-10,0,1.44039e-09,-2.92998e-10,0,4,0.825145,1.5,-2.92998e-10,-1.44039e-09,-1.33887,1,0.825278,-2.1684e-08,0,0,0,8.32623,1,0,1.08218,0.129973,19.9797,-7.73361e-10,2.09231e-10,0,0,0,0
2.81779e-09,1.08725,0,-6.04035e-10,-1.01652e-10,0,1.56529e-09,-5.12902e-10,0,4,0.856488,1.5,-5.12902e-10,-1.56529e-09,-1.08725,1,0.856602,-2.09921e-08,0,0,0,8.02247,0.999999,0,1.05413,0.131397,20.0177,-7.90916e-10,1.97273e-10,0,0,0,0
1.15105e-09,0.840437,0,-1.02772e-09,1.24337e-09,0,1.67777e-09,-7.87625e-10,0,4,0.888098,1.5,-7.87625e-10,-1.67777e-09,-0.840437,1,0.888191,-1.95835e-08,0,0,0,7.77951,0.999999,0,1.03135,0.132572,20.0481,-7.79638e-10,1.76907e-10,0,0,0,0
-1.17785e-09,0.597474,0,-1.02638e-09,3.81718e-09,0,1.75608e-09,-8.86306e-10,0,4,0.919918,1.5,-8.86306e-10,-1.75608e-09,-0.597474,1,0.919987,-1.74414e-08,0,0,0,7.59733,0.999996,0,1.01406,0.133476,20.071,-7.11862e-10,1.47283e-10,0,0,0,0
-3.84912e-09,0.357334,0,-5.30779e-10,9.32448e-09,0,1.80355e-09,-6.2633e-10,0,4,0.95189,1.5,-6.2633e-10,-1.80355e-09,-0.357334,1,0.951933,-1.46202e-08,0,0,0,7.47589,0.999987,0,1.00245,0.134091,20.0862,-5.35876e-10,1.20374e-10,0,0,0,0
-5.96882e-09,0.118918,0,-1.15136e-10,1.39955e-08,0,1.83315e-09,-1.84855e-10,0,4,0.983953,1.5,-1.84855e-10,-1.83315e-09,-0.118918,1,0.983968,-9.77572e-09,0,0,0,7.41518,0.999954,0,0.99661,0.134402,20.0938,-1.14421e-10,1.07196e-10,0,0,0,0
-6.10931e-09,1.20752e-07,0,1.45098e-10,1.27877e-08,0,1.82797e-09,7.74602e-11,0,4,1,1.5,7.74602e-11,-1.82797e-09,-1.20607e-07,1,0.983968,-1.1694e-08,0,0,0,7.41518,0.999954,0,0.99661,0.134402,20.0938,1.23817e-10,1.07858e-10,0,0,0,0
